logdir,hostpair,server,client,bw_limit,repetition,goodput,filesize,server_cpu,server_cpu_avg,client_cpu,client_cpu_avg,server_throughput_outgoing,server_throughput_incoming,client_throughput_outgoing,client_throughput_incoming,client_perf,server_perf,client_ethtool_rx_total_discard_pkts,client_ethtool_tx_total_discard_pkts,client_ethtool_rx_bytes,client_ethtool_tx_bytes,client_ethtool_rx_total_frames,client_ethtool_tx_total_frames,server_ethtool_rx_total_discard_pkts,server_ethtool_tx_total_discard_pkts,server_ethtool_rx_bytes,server_ethtool_tx_bytes,server_ethtool_rx_total_frames,server_ethtool_tx_total_frames,client_netstat_packets_received,client_netstat_packets_to_unknown_port_received,client_netstat_packet_receive_errors,client_netstat_packets_sent,client_netstat_receive_buffer_errors,client_netstat_send_buffer_errors,server_netstat_packets_received,server_netstat_packets_to_unknown_port_received,server_netstat_packet_receive_errors,server_netstat_packets_sent,server_netstat_receive_buffer_errors,server_netstat_send_buffer_errors,client_tc_stats,server_tc_stats,client_runtime
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,8,1098.7769942678485,8589934592.0,,,,,,,,,,,0,0,9111478662,27266537,6292260,269408,0,0,27266201,9111478326,269406,6292258,6291532,0,719,269399,719,0,269399,0,0,6292251,0,0,,,62.541786638
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,9,1088.5079445053136,8589934592.0,,,,,,,,,,,0,0,9112065977,22849338,6292681,225629,0,0,22849274,9112065913,225628,6292680,6291526,0,1147,225621,1147,0,225621,0,0,6292673,0,0,,,63.131809698
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,10,1085.3941234905826,8589934592.0,,,,,,,,,,,0,0,9112391118,23845941,6292917,235529,0,0,23846213,9112391118,235530,6292917,6291544,0,1367,235523,1367,0,235523,0,0,6292911,0,0,,,63.312924909
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,11,1094.7672044884268,8589934592.0,,,,,,,,,,,0,0,9111829390,25079344,6292505,247751,0,0,25079008,9111829326,247749,6292504,6291525,0,972,247743,972,0,247743,0,0,6292497,0,0,,,62.770857204
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,12,1081.2746420583135,8589934592.0,,,,,,,,,,,0,0,9111359261,29168340,6292156,288302,0,0,29168276,9111359469,288301,6292156,6291525,0,625,288295,625,0,288295,0,0,6292150,0,0,,,63.554136596
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,13,1082.49356458819,8589934592.0,,,,,,,,,,,0,0,9112465930,21250742,6292983,209912,0,0,21250678,9112465866,209911,6292982,6291543,0,1432,209904,1432,0,209904,0,0,6292975,0,0,,,63.48257267
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,14,1098.6374112260398,8589934592.0,,,,,,,,,,,0,0,9112403434,22088651,6292919,218073,0,0,22088651,9112403434,218073,6292919,6291533,0,1378,218065,1378,0,218065,0,0,6292911,0,0,,,62.549732454
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,15,1091.4765095217597,8589934592.0,,,,,,,,,,,0,0,9111473222,23772961,6292262,234803,0,0,23773233,9111473222,234804,6292262,6291526,0,729,234796,729,0,234796,0,0,6292255,0,0,,,62.960106736
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,16,1088.6243393035984,8589934592.0,,,,,,,,,,,0,0,9112169611,23091970,6292752,228036,0,0,23091698,9112169611,228035,6292752,6291531,0,1213,228028,1213,0,228028,0,0,6292744,0,0,,,63.125060221
../../results/baseline/client-timestamps/goracle-optimized/picoquic2,algofi-zone,quic-go,picoquic,none,17,1089.5689364194584,8589934592.0,,,,,,,,,,,0,0,9111734345,24777412,6292443,244767,0,0,24777412,9111734345,244767,6292443,6291532,0,902,244758,902,0,244758,0,0,6292434,0,0,,,63.070334276
