logdir,hostpair,server,client,bw_limit,repetition,goodput,server_cpu,server_cpu_avg,client_cpu,client_cpu_avg,server_throughput_outgoing,server_throughput_incoming,client_throughput_outgoing,client_throughput_incoming,client_perf,server_perf,client_ethtool_rx_total_discard_pkts,client_ethtool_tx_total_discard_pkts,client_ethtool_rx_bytes,client_ethtool_tx_bytes,client_ethtool_rx_total_frames,client_ethtool_tx_total_frames,server_ethtool_rx_total_discard_pkts,server_ethtool_tx_total_discard_pkts,server_ethtool_rx_bytes,server_ethtool_tx_bytes,server_ethtool_rx_total_frames,server_ethtool_tx_total_frames,client_netstat_packets_received,client_netstat_packets_to_unknown_port_received,client_netstat_packet_receive_errors,client_netstat_packets_sent,client_netstat_receive_buffer_errors,client_netstat_send_buffer_errors,server_netstat_packets_received,server_netstat_packets_to_unknown_port_received,server_netstat_packet_receive_errors,server_netstat_packets_sent,server_netstat_receive_buffer_errors,server_netstat_send_buffer_errors,client_tc_stats,server_tc_stats,client_runtime
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,2,2546.7292138044004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.98342452
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,3,2648.761210431419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.944005843
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,4,2501.818828711007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.467807117
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,5,2538.438097931486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.071558291
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,6,2599.411774055683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.436549424
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,7,2554.5357475466026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.900965202
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,8,2590.870487686824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.523701199
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,9,2565.198485087953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.789145804
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,10,2576.898013497244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.667519398
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,11,2570.071607482451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.738351417
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,12,2546.3850519241214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.987071625
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,13,2557.121103863109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.873767081
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,14,2492.6631187298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.568697285
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,15,2539.827839460074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.056745891
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,16,2559.082379358475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.853170162
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,17,2566.7171984621245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.773294899
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,18,2556.793058209342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.877215376
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,19,2524.2204779386334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.224038379
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,20,2512.8115875722237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.347644001
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,21,2463.650984899662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.893348947
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,22,2457.1125381128873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.967573505
../../results/baseline/client-timestamps/goracle/run2,goracle-gard,quiche,lsquic,none,23,2522.099893753164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.246928991
